ApplicationID,JobID,ApplicantName,Status,HiringCost,ExperienceYears,HighestDegree,University,RejectionReason,ApplicationDate
306,92,Joshua Turner,Processed,0,7,Master,"Johnson, Ward and Walters",,2023-07-04
307,29,Michael Archer,Accepted,6027529,12,High School,Collins and Sons,,2023-04-30
308,67,James Bell,Shortlisted,0,20,Master,Nicholson-Rose,,2022-01-03
309,44,Taylor Hood,Processed,0,18,Master,Thompson Group,,2022-06-19
310,4,Michelle Miller,Shortlisted,0,6,Master,Thompson-Hernandez,,2023-02-02
311,29,Amber Hall,Accepted,13133664,16,Bachelor,"Adams, Bean and Moon",,2023-04-02
312,94,Misty Singleton,Rejected,0,17,Bachelor,Joseph-Garcia,Culture,2023-05-14
313,100,Tammy Harrison,Processed,0,9,High School,"Ellis, Brown and Jackson",,2023-05-25
314,57,Kristi Burns,Rejected,0,4,High School,Luna LLC,,2022-12-21
315,65,Nancy Baxter,Accepted,19728610,1,Master,Patterson Ltd,,2022-04-21
316,39,Laura Lopez,Accepted,14858369,3,Master,Chaney-Lynn,,2023-10-19
317,88,Patricia Robinson,Accepted,13002924,9,PhD,Guzman-Henry,,2023-01-16
318,90,Maria Vargas,Processed,0,8,High School,Morales-Wallace,,2022-02-12
319,54,April Thompson,Shortlisted,0,15,PhD,Fox Ltd,,2023-12-30
320,74,Andrew Atkinson,Rejected,0,13,Master,"Brown, Harvey and Perez",Technical,2022-09-17
321,37,John Williams,Shortlisted,0,17,Associate,"Russo, Miller and Morgan",,2023-03-14
322,31,Nathan Bradley,Processed,0,5,Master,Howard-Norris,,2023-03-09
323,67,Stephanie Scott,Accepted,12283497,15,PhD,"Walker, Bautista and Burgess",,2022-01-23
324,74,Christopher Bailey,Shortlisted,0,11,PhD,Mccall PLC,,2022-03-29
325,8,Penny Berry,Accepted,6181517,11,Bachelor,Higgins Ltd,,2022-12-07
326,73,Daniel Wright,Shortlisted,0,6,Associate,Hicks-West,,2023-03-06
327,74,Jenny Cole,Rejected,0,11,Master,Carpenter-Hester,Culture,2022-10-24
328,28,Lisa Baker,Processed,0,15,Bachelor,"Johnson, Gonzalez and Mendoza",,2022-01-06
329,73,Travis Mcmillan DVM,Rejected,0,8,PhD,Schroeder-Garcia,Technical,2023-09-23
330,90,Kent Lewis,Shortlisted,0,4,Associate,"Mcfarland, Gonzales and Atkinson",,2022-03-06
331,23,Thomas Turner,Accepted,8511019,9,Associate,"Blake, Ramos and Mitchell",,2023-06-19
332,41,Vicki Gardner,Rejected,0,20,Associate,Parker Group,Salary,2023-10-23
333,80,Jessica Morris,Accepted,6904989,17,PhD,Phillips-Hull,,2023-06-27
334,68,Victor Baker,Accepted,16876613,10,Associate,Wise-Anderson,,2022-02-08
335,28,Julia Neal,Accepted,6437768,9,Associate,Carter and Sons,,2023-02-07
336,9,Ronald Fuller,Accepted,15678288,1,Associate,"Henry, Flores and Garrett",,2022-01-04
337,94,Antonio Sutton,Accepted,11179200,13,Associate,"Delgado, Glass and Martin",,2022-07-26
338,64,Christopher Marks,Rejected,0,3,Associate,Smith-White,Technical,2022-11-30
339,59,Kim Jones,Rejected,0,5,Associate,Lane-Leon,Salary,2023-05-01
340,94,Crystal Todd,Rejected,0,16,PhD,Baxter Inc,Salary,2022-06-10
341,62,Todd Bean,Rejected,0,0,PhD,Watkins Ltd,Technical,2023-05-04
342,29,Brittney Walton,Processed,0,14,Master,"Morse, Warner and Lloyd",,2023-12-11
343,87,Jennifer Lee,Rejected,0,14,Bachelor,Liu-Ross,Culture,2022-07-31
344,62,Madeline Marshall,Shortlisted,0,11,PhD,Flowers and Sons,,2022-01-25
345,66,Brandon Moody,Rejected,0,6,Associate,Richmond LLC,,2022-02-15
346,91,Caitlyn Garcia,Accepted,17603978,12,High School,"Cook, Carpenter and Johnson",,2023-05-22
347,15,Christopher Clarke,Rejected,0,17,Bachelor,"Johnson, Rivera and Mason",Technical,2022-06-04
348,23,Richard Zhang,Shortlisted,0,13,PhD,Castillo-Hernandez,,2023-11-26
349,71,Rachel Romero,Accepted,8937542,17,PhD,Warner LLC,,2023-02-28
350,67,Calvin Soto,Shortlisted,0,12,Bachelor,Davis Group,,2023-05-13
351,36,Ashley Williams,Shortlisted,0,12,Bachelor,Burns-Mendez,,2023-08-05
352,64,Gabrielle Cooley,Rejected,0,6,High School,"Rivera, Marshall and Mendoza",Salary,2022-03-10
353,91,Erica Patterson,Shortlisted,0,9,Master,Kidd-Knox,,2022-08-29
354,95,James Greene,Shortlisted,0,18,Associate,"Thomas, Brown and Martin",,2023-08-08
355,56,Levi Lynch,Accepted,15539443,1,PhD,Dunn-Bernard,,2022-01-15
356,8,Joanne Wood,Accepted,18987498,9,Associate,Watson Group,,2023-05-01
357,66,Michele Davis,Rejected,0,10,Associate,Gordon-Castillo,Technical,2022-10-31
358,82,Aaron Bailey,Processed,0,15,High School,Russell-Kelly,,2022-11-24
359,77,Danielle Spencer,Accepted,8805484,11,PhD,Pugh-Banks,,2023-10-20
360,5,Rhonda Miller,Shortlisted,0,2,Bachelor,Gardner-Henderson,,2023-07-21
361,1,Laura Ortega,Shortlisted,0,4,High School,Dawson-Lawson,,2022-04-21
362,78,Michael Morales,Processed,0,10,Bachelor,"Carter, Sampson and Morris",,2023-07-06
363,56,Lisa Brown,Processed,0,0,Associate,Carroll-Richmond,,2022-02-23
364,91,Valerie Smith,Shortlisted,0,16,PhD,"Oconnor, Leonard and Russo",,2023-04-14
365,80,Kylie Mendoza,Rejected,0,5,Bachelor,"Brewer, Harvey and Howard",Technical,2022-10-09
366,96,Patricia Moore,Processed,0,12,Associate,"Smith, Sheppard and Burke",,2023-01-29
367,43,Shelby West,Accepted,6382701,9,PhD,Bush Ltd,,2022-06-29
368,90,Brittany Tanner,Accepted,12274935,2,PhD,"Murray, Park and Paul",,2022-01-22
369,30,Barbara Davenport,Shortlisted,0,14,Master,"Wallace, Hobbs and Brown",,2023-11-20
370,20,Michael Williams,Rejected,0,6,Master,Knapp Group,Culture,2023-05-23
371,94,Heather Murphy,Rejected,0,2,High School,"Gonzalez, Wright and Nelson",Culture,2022-01-16
372,22,Jennifer Griffith,Rejected,0,16,Master,"Henderson, Gray and Perez",Salary,2023-03-12
373,61,Angel Wilson,Rejected,0,3,PhD,Bush Group,Salary,2023-04-04
374,80,Joshua Kemp,Accepted,8563068,7,Associate,Haas Inc,,2023-04-21
375,2,Kaitlyn Smith,Shortlisted,0,15,Bachelor,"Sandoval, King and Reeves",,2023-07-18
376,69,Mario Klein,Shortlisted,0,1,PhD,Dudley Group,,2022-05-22
377,47,Brianna Johnson,Processed,0,11,Master,Baker and Sons,,2022-11-20
378,43,Alicia Richardson,Accepted,10897474,15,Bachelor,Perez LLC,,2022-05-30
379,88,Carrie Sellers,Accepted,17171579,19,Associate,Morrison Group,,2023-01-03
380,41,Alyssa Schmidt,Rejected,0,8,Associate,Smith-Morris,,2023-10-05
381,66,Robert Mendez,Processed,0,14,Associate,Rowland-Weber,,2022-04-18
382,76,Alec Davenport MD,Shortlisted,0,16,PhD,"Miller, Cannon and Garcia",,2022-02-26
383,45,Rebecca Olson,Accepted,10995015,7,High School,Flores-Peters,,2023-01-30
384,10,Brian Wright MD,Processed,0,4,High School,Armstrong-Butler,,2023-01-27
385,72,Stephen Shields,Processed,0,10,PhD,Rasmussen-Franklin,,2023-07-07
386,46,Carlos Lozano,Rejected,0,10,Master,Goodman Ltd,,2022-10-30
387,90,Mark Hamilton Jr.,Processed,0,5,Bachelor,Acosta-Dunlap,,2023-05-04
388,20,Jessica Steele,Accepted,8025914,2,Master,"Powell, Turner and Mcfarland",,2023-03-01
389,54,Edward Edwards,Rejected,0,7,Bachelor,Wright Inc,Technical,2023-03-20
390,46,Sheena Silva,Rejected,0,6,PhD,Johnson-Reed,Salary,2023-07-20
391,10,James Robinson,Rejected,0,13,PhD,Norton LLC,,2022-04-04
392,51,Kevin Perez,Rejected,0,19,Bachelor,Solis Ltd,,2022-08-01
393,19,Curtis Sawyer,Accepted,5921837,11,Bachelor,Parsons PLC,,2023-02-13
394,94,Hannah Ramos MD,Processed,0,10,High School,Cooper PLC,,2023-04-19
395,60,Justin Holland,Processed,0,17,High School,Stuart Ltd,,2022-09-11
396,85,Antonio Hernandez,Shortlisted,0,2,High School,Ross-Patrick,,2022-01-22
397,7,Natasha Price,Processed,0,3,Bachelor,Ramirez-Schwartz,,2022-10-04
398,7,Whitney Ward,Processed,0,4,High School,Valenzuela-Rich,,2022-12-08
399,10,Patricia Jones,Shortlisted,0,20,PhD,Murphy-Boyd,,2023-05-07
400,44,Jodi Rivera MD,Shortlisted,0,5,PhD,Horn-Foster,,2023-11-10
401,77,Ashley Smith PhD,Processed,0,10,Associate,Johnson-Owens,,2023-06-14
402,36,Whitney Torres,Rejected,0,19,Bachelor,Cain and Sons,,2022-11-04
403,12,Alexis Yu,Rejected,0,14,Bachelor,"Davis, Davis and Garcia",Salary,2023-02-15
404,33,Steven Blackwell,Shortlisted,0,9,High School,Williams and Sons,,2023-12-16
405,17,Mark York,Rejected,0,8,High School,"Mueller, Hutchinson and Smith",,2023-06-24
406,45,Erika Mcclure,Rejected,0,12,Bachelor,Lee Group,Culture,2023-03-14
407,13,Jennifer Hobbs,Rejected,0,17,Associate,Lee Ltd,Salary,2022-02-19
408,51,Gary Carter,Shortlisted,0,8,PhD,"Mendez, Greene and Fry",,2022-11-26
409,28,John Beck,Shortlisted,0,19,Associate,Spencer-Mcbride,,2022-05-18
410,8,Heather Meadows,Shortlisted,0,20,High School,Thomas PLC,,2022-11-22
411,80,Jessica Fuller,Rejected,0,4,Bachelor,Horne-Schwartz,,2022-04-28
412,38,Richard Hines,Processed,0,19,Master,Carney-Brown,,2022-07-13
413,85,Joseph Moore,Accepted,5111475,18,Master,Duncan PLC,,2022-09-29
414,36,David Reed,Accepted,16042383,2,PhD,Joyce and Sons,,2022-10-04
415,55,Victoria Pollard,Rejected,0,13,PhD,Hood Group,Culture,2022-02-15
416,56,Madison Warner,Shortlisted,0,5,Associate,Rios Group,,2022-06-05
417,24,Michelle Jackson,Processed,0,12,Associate,"Day, Watson and Howell",,2022-04-29
418,86,Billy Strong,Processed,0,4,Master,Davidson Inc,,2023-07-07
419,1,Alyssa Sanchez,Processed,0,6,Associate,Downs and Sons,,2023-08-21
420,37,Kayla Roberts,Processed,0,13,Master,"Smith, Dominguez and Walker",,2023-07-19
421,75,Miguel Brown,Shortlisted,0,17,High School,Riley Inc,,2023-02-20
422,79,Christopher Hicks,Processed,0,15,High School,"Gibbs, Patterson and Willis",,2022-04-02
423,32,Ashley Dickerson,Accepted,5333447,1,Bachelor,Jensen Group,,2023-09-08
424,89,Jennifer Bauer,Processed,0,0,Master,Phillips and Sons,,2022-08-03
425,17,James Ford,Processed,0,12,Master,Howard PLC,,2023-10-29
426,28,Mark Williams,Accepted,9551147,19,Bachelor,"Ryan, Scott and Walters",,2023-06-13
427,41,Steven Sanders,Shortlisted,0,18,Associate,"Hill, Nelson and Miller",,2023-04-09
428,22,Mrs. Stefanie Lewis PhD,Processed,0,9,High School,Diaz Ltd,,2022-06-19
429,37,Lynn Barnes,Shortlisted,0,8,High School,Nelson-Mathis,,2022-03-15
430,35,Laura Stewart,Accepted,13358532,20,Associate,"Simpson, Gomez and Riley",,2023-11-12
431,18,Briana Reed,Shortlisted,0,17,Associate,Ali-Smith,,2023-12-16
432,65,Michelle Anderson,Shortlisted,0,5,High School,"Lozano, Spencer and Castro",,2023-08-15
433,99,Whitney Morales,Shortlisted,0,10,Master,"Walker, Gomez and Hartman",,2023-01-03
434,20,Natalie Webb,Processed,0,9,Master,"Campbell, Moore and Decker",,2023-06-28
435,82,Terri Larson,Accepted,15804516,16,PhD,Gordon LLC,,2023-06-20
436,27,David Jones,Processed,0,1,High School,Lee-Quinn,,2023-09-09
437,37,Debra Bailey,Accepted,5584600,1,High School,Smith-Stone,,2022-05-25
438,93,Lisa Romero,Rejected,0,1,Master,Sanders-Woods,Technical,2023-01-19
439,81,Jesse Williams,Shortlisted,0,10,High School,Mason-Stephens,,2022-08-26
440,67,Donald Anderson,Rejected,0,1,Master,"West, Bryant and Mckay",Technical,2022-04-05
441,64,Stephanie Novak,Accepted,5213753,3,Associate,Velez PLC,,2022-05-15
442,60,David Fuller,Rejected,0,9,High School,Reed Group,Culture,2023-09-09
443,26,Veronica Ramsey,Shortlisted,0,1,Bachelor,"Bennett, Young and Cooper",,2022-05-04
444,83,Christopher Brady,Accepted,6078045,10,Bachelor,Clark Group,,2023-06-22
445,14,Teresa Sullivan,Processed,0,1,Bachelor,Martinez-Schneider,,2023-10-14
446,18,Tommy Roy,Accepted,12636444,11,High School,"Beck, Hicks and West",,2022-11-11
447,2,Wesley James,Accepted,6730829,19,Master,Green Group,,2023-09-01
448,7,Carrie Shepard,Shortlisted,0,2,Associate,"Bernard, Johnston and Crawford",,2023-02-25
449,54,Alan Potts,Shortlisted,0,11,PhD,"Moon, Gomez and Manning",,2023-11-01
450,69,Willie Perkins,Rejected,0,19,Bachelor,"Brock, Bennett and Hahn",,2023-05-24
451,12,Dylan Wilkinson,Processed,0,11,High School,"Stewart, Tucker and Lee",,2023-10-23
452,76,Daniel Flores,Processed,0,10,Master,"Jackson, Simpson and Moreno",,2022-12-27
453,84,Thomas Vaughn,Rejected,0,1,Master,Reed-Mason,,2023-07-15
454,93,Mr. Matthew Singh,Accepted,16673992,10,Master,"Miller, West and Riddle",,2023-08-21
455,40,Daniel Mahoney,Processed,0,12,Associate,Duncan Ltd,,2023-09-08
456,69,Eric Huber,Rejected,0,13,Master,"Perry, Petersen and Flynn",,2022-04-12
457,79,Sherry Olson,Shortlisted,0,16,Bachelor,Thomas PLC,,2023-12-10
458,65,Kathleen Owens,Processed,0,12,High School,Howard PLC,,2022-06-17
459,51,John Hicks,Shortlisted,0,6,Associate,Campbell Group,,2022-12-06
460,27,Ricky Foster,Processed,0,5,Master,Cervantes-Foster,,2023-01-31
461,91,Kyle Cox,Processed,0,8,Bachelor,Garcia Inc,,2022-11-15
462,65,Andrew Hardy,Processed,0,3,PhD,Becker-Tran,,2022-08-20
463,21,Nicole Glover,Processed,0,4,Master,Murphy-Downs,,2023-06-05
464,61,Patricia Turner,Accepted,5455570,13,Master,Campbell Inc,,2022-06-19
465,44,Marissa Diaz,Rejected,0,19,PhD,Larsen-Young,Salary,2022-03-17
466,34,Guy Lewis,Accepted,12604815,6,Associate,Lopez Ltd,,2022-02-17
467,2,Travis Rivera,Processed,0,6,Associate,Davis-Campbell,,2022-08-31
468,92,James Bell,Accepted,16666551,16,High School,Ross Ltd,,2023-09-18
469,11,Susan Edwards,Processed,0,12,Master,Sanchez-Hancock,,2023-10-06
470,10,Robert Hall,Accepted,15891338,6,Master,"Miller, Farley and Miller",,2023-02-13
471,16,Matthew Robinson,Rejected,0,8,Associate,Estrada Inc,,2023-03-31
472,51,Jose Ferguson,Shortlisted,0,0,Bachelor,"Becker, Mcdaniel and Davis",,2023-11-06
473,71,Lindsay Douglas,Rejected,0,17,PhD,"Solis, Larson and Navarro",Culture,2022-04-08
474,61,Mr. Christopher Dunn,Rejected,0,19,Master,"Garcia, Miller and Andrews",Culture,2023-01-30
475,75,Sarah Gonzalez,Accepted,11914990,9,PhD,Young-Wright,,2022-08-08
476,10,Brandi Gaines,Processed,0,18,Associate,"Bowen, Frazier and Martinez",,2023-11-07
477,95,Maria Brown,Accepted,10528078,16,Master,Price-Davis,,2023-08-06
478,17,Tracey Odonnell,Shortlisted,0,3,Bachelor,Snyder Group,,2022-05-12
479,80,John Green,Rejected,0,6,Bachelor,"Church, Davies and Jordan",,2023-05-26
480,84,Karen Stevenson,Rejected,0,11,High School,"Santiago, Rodriguez and Fuentes",Salary,2022-05-18
481,57,Nancy Brandt,Shortlisted,0,4,High School,"Ayers, Cole and Fritz",,2023-09-30
482,97,Aaron Mendoza,Shortlisted,0,2,High School,Nichols LLC,,2022-10-28
483,65,Jennifer Young,Shortlisted,0,20,Master,Hancock-Phillips,,2023-05-23
484,33,Edward Berger,Rejected,0,10,Bachelor,"Diaz, Russell and Hernandez",Culture,2023-11-11
485,65,Gabriela Thompson,Rejected,0,13,Associate,Bernard-Miller,Technical,2022-09-20
486,7,Nichole Edwards,Shortlisted,0,13,Associate,Hall-Stewart,,2022-03-03
487,77,Sara Ford,Accepted,5832741,17,PhD,Ward LLC,,2022-01-08
488,25,Mr. Peter Becker,Accepted,8876106,15,High School,Ingram-Anderson,,2022-08-25
489,12,Colin Moreno,Shortlisted,0,12,Master,Farley Ltd,,2022-05-25
490,53,Kimberly Carpenter,Accepted,16048328,19,Bachelor,Ruiz-Morris,,2023-01-09
491,100,David Massey,Accepted,19656699,6,PhD,Schultz and Sons,,2022-03-18
492,96,Cameron Olson,Rejected,0,4,Bachelor,"Reeves, Mcclain and Evans",Salary,2023-03-06
493,64,Carol Moon,Processed,0,17,Associate,Lee-Brooks,,2022-05-09
494,92,Richard Carter,Processed,0,0,Bachelor,Martinez-Vang,,2022-03-31
495,54,Susan Hughes,Rejected,0,1,High School,Lowe Inc,Salary,2023-06-09
496,85,Jordan Stevens,Processed,0,5,PhD,"Baker, Taylor and Bryan",,2023-03-25
497,100,Samuel Harris,Shortlisted,0,16,Associate,"Baker, Erickson and Long",,2022-06-11
498,46,Grant Lopez,Processed,0,15,Associate,Smith-Johnston,,2022-05-15
499,93,Kristen Gray DVM,Rejected,0,16,PhD,Wright-Leach,Culture,2023-12-06
500,12,Deanna Bowman,Rejected,0,8,Bachelor,Simmons Ltd,,2022-08-09
